profile_a,profile_b,feature_distance,moderation_distance
profile_0052,profile_0778,7.840696074586715,122.17610240959563
profile_0052,profile_0785,7.287420843014477,128.4562182223967
profile_0052,profile_0790,9.826178210490259,108.66922287382016
profile_0052,profile_0794,9.762342184274418,137.35719857364595
profile_0052,profile_0795,12.24663611075701,126.4199351368288
profile_0063,profile_0065,8.999524827260352,114.75626344561765
profile_0063,profile_0066,8.838098992148403,107.70793842609746
profile_0063,profile_0076,6.732189727523216,132.01893803541975
profile_0063,profile_0096,8.10040559945249,104.78549517943789
profile_0063,profile_0111,5.784052505093753,147.10540438746634
profile_0063,profile_0131,10.688947303814498,95.60857702110204
profile_0063,profile_0143,6.736603018265331,89.77193325310535
profile_0063,profile_0144,8.432064954582053,124.04434690867618
profile_0063,profile_0148,6.306348665807779,132.0
profile_0063,profile_0165,8.159026786701785,105.32805893967665
profile_0063,profile_0167,9.531085554149875,136.90872872099865
profile_0063,profile_0172,10.770972416887071,114.24097338520886
profile_0063,profile_0176,5.658362715581052,135.98161640457138
profile_0063,profile_0186,9.725104088077444,100.85137579626765
profile_0063,profile_0204,7.835593097622613,137.5027272456805
profile_0063,profile_0217,9.257660711016726,126.41598000252975
profile_0063,profile_0219,5.692508447168882,112.88046775239727
profile_0063,profile_0233,9.636280886960359,113.00884921102418
profile_0063,profile_0248,7.3715866100232805,135.32553343696821
profile_0063,profile_0253,8.471007327118588,121.02479084881742
profile_0063,profile_0269,7.9041250600541755,117.69876804792818
profile_0063,profile_0272,7.402464013631451,152.95097253695383
profile_0063,profile_0280,8.991387873108701,120.2705283932851
profile_0063,profile_0287,8.804507387999951,107.34989520255714
profile_0063,profile_0293,7.491247920973296,124.26584406022437
profile_0063,profile_0295,8.29781423772874,133.51404420509476
profile_0063,profile_0297,9.516885189415857,105.52250944703694
profile_0063,profile_0307,11.587418566050887,97.61147473529944
profile_0063,profile_0308,9.309483106271756,123.3774695801466
profile_0063,profile_0325,9.945932154620863,132.53301475481496
profile_0063,profile_0345,11.813113754378202,124.91997438360288
